,Index,fpositive,fnegative,fneutral,score,label
0,0,0.753152072429657,0.008771643042564392,0.23807619512081146,0.753152072429657,positive
1,1,0.07663877308368683,0.030161118134856224,0.893200159072876,0.893200159072876,neutral
2,2,0.6036601662635803,0.009562003426253796,0.38677778840065,0.6036601662635803,positive
3,3,0.656810462474823,0.23776158690452576,0.10542786866426468,0.656810462474823,positive
4,4,0.8876937031745911,0.007952314801514149,0.10435403883457184,0.8876937031745911,positive
5,5,0.2827150523662567,0.008629513904452324,0.7086554169654846,0.7086554169654846,neutral
6,6,0.8146911263465881,0.008282453753054142,0.1770263910293579,0.8146911263465881,positive
7,7,0.018251504749059677,0.8522499799728394,0.1294984668493271,0.8522499799728394,negative
8,8,0.7778932452201843,0.009262374602258205,0.21284440159797668,0.7778932452201843,positive
9,9,0.6991031765937805,0.008803126402199268,0.2920936644077301,0.6991031765937805,positive
10,10,0.2136981189250946,0.01757652498781681,0.7687253952026367,0.7687253952026367,neutral
11,11,0.8277603387832642,0.006961910054087639,0.16527768969535828,0.8277603387832642,positive
12,12,0.07362309843301773,0.7450316548347473,0.18134519457817078,0.7450316548347473,negative
13,13,0.13126228749752045,0.021276503801345825,0.8474612832069397,0.8474612832069397,neutral
14,14,0.4639606773853302,0.01039168518036604,0.5256475806236267,0.5256475806236267,neutral
15,15,0.030888861045241356,0.6168975234031677,0.35221368074417114,0.6168975234031677,negative
16,16,0.038967665284872055,0.09992527216672897,0.8611070513725281,0.8611070513725281,neutral
17,17,0.3706994354724884,0.008955099619925022,0.6203454732894897,0.6203454732894897,neutral
18,18,0.8407865166664124,0.006807324942201376,0.15240618586540222,0.8407865166664124,positive
19,19,0.5328470468521118,0.01061912439763546,0.4565337896347046,0.5328470468521118,positive
20,20,0.3351603150367737,0.010241440497338772,0.6545982360839844,0.6545982360839844,neutral
21,21,0.643912672996521,0.010006783530116081,0.3460805118083954,0.643912672996521,positive
22,22,0.07362309843301773,0.7450316548347473,0.18134519457817078,0.7450316548347473,negative
23,23,0.5842410326004028,0.1928359568119049,0.22292301058769226,0.5842410326004028,positive
24,24,0.3113861680030823,0.01788543350994587,0.6707284450531006,0.6707284450531006,neutral
25,25,0.028234919533133507,0.4557023048400879,0.5160627961158752,0.5160627961158752,neutral
26,26,0.7134669423103333,0.0098472461104393,0.276685893535614,0.7134669423103333,positive
27,27,0.0734780877828598,0.25835540890693665,0.6681665778160095,0.6681665778160095,neutral
28,28,0.499033659696579,0.012792181223630905,0.4881742000579834,0.499033659696579,positive
29,29,0.8335056900978088,0.01304657943546772,0.1534477025270462,0.8335056900978088,positive
30,30,0.301911324262619,0.008667420595884323,0.6894212365150452,0.6894212365150452,neutral
31,31,0.1348557025194168,0.010441313497722149,0.8547029495239258,0.8547029495239258,neutral
32,32,0.11188525706529617,0.7547255158424377,0.13338921964168549,0.7547255158424377,negative
33,33,0.04494944587349892,0.09880057722330093,0.8562499284744263,0.8562499284744263,neutral
34,34,0.37371206283569336,0.009576525539159775,0.6167113780975342,0.6167113780975342,neutral
35,35,0.09752928465604782,0.019798485562205315,0.8826722502708435,0.8826722502708435,neutral
36,36,0.12408677488565445,0.009356390684843063,0.8665568232536316,0.8665568232536316,neutral
37,37,0.14673998951911926,0.012705664150416851,0.8405543565750122,0.8405543565750122,neutral
38,38,0.3249632716178894,0.013480653055012226,0.66155606508255,0.66155606508255,neutral
39,39,0.6210954189300537,0.010128430090844631,0.3687761127948761,0.6210954189300537,positive
40,40,0.6932565569877625,0.010907704010605812,0.2958357632160187,0.6932565569877625,positive
41,41,0.24220146238803864,0.015883779153227806,0.7419148087501526,0.7419148087501526,neutral
42,42,0.12852086126804352,0.03453715518116951,0.8369420170783997,0.8369420170783997,neutral
43,43,0.5291088819503784,0.009579963982105255,0.46131107211112976,0.5291088819503784,positive
44,44,0.39431557059288025,0.01134124118834734,0.5943431258201599,0.5943431258201599,neutral
45,45,0.14338645339012146,0.01384945958852768,0.8427640795707703,0.8427640795707703,neutral
46,46,0.17688830196857452,0.007851744070649147,0.8152599334716797,0.8152599334716797,neutral
47,47,0.14073586463928223,0.009518569335341454,0.8497456312179565,0.8497456312179565,neutral
48,48,0.2810633182525635,0.008856273256242275,0.7100803256034851,0.7100803256034851,neutral
49,49,0.6006686687469482,0.009778019040822983,0.38955339789390564,0.6006686687469482,positive
50,50,0.021619532257318497,0.7147865891456604,0.2635939121246338,0.7147865891456604,negative
51,51,0.03468460217118263,0.8112578988075256,0.1540575474500656,0.8112578988075256,negative
52,52,0.1450534462928772,0.01744462177157402,0.8375019431114197,0.8375019431114197,neutral
53,53,0.1979653537273407,0.011045915074646473,0.7909887433052063,0.7909887433052063,neutral
54,54,0.37204140424728394,0.009082566946744919,0.6188759803771973,0.6188759803771973,neutral
55,55,0.8495343327522278,0.007070118095725775,0.14339546859264374,0.8495343327522278,positive
56,56,0.18240806460380554,0.33694806694984436,0.4806438684463501,0.4806438684463501,neutral
57,57,0.031560614705085754,0.6918174624443054,0.27662190794944763,0.6918174624443054,negative
58,58,0.024179421365261078,0.179576113820076,0.7962444424629211,0.7962444424629211,neutral
59,59,0.24090424180030823,0.015248795971274376,0.7438470125198364,0.7438470125198364,neutral
60,60,0.1827675849199295,0.040546927601099014,0.7766854763031006,0.7766854763031006,neutral
61,61,0.3467935621738434,0.010496189817786217,0.642710268497467,0.642710268497467,neutral
62,62,0.895876407623291,0.0071461396291852,0.09697742015123367,0.895876407623291,positive
63,63,0.7224555611610413,0.10088048875331879,0.17666396498680115,0.7224555611610413,positive
64,64,0.4197246730327606,0.009156249463558197,0.5711190700531006,0.5711190700531006,neutral
65,65,0.0953172817826271,0.39227965474128723,0.5124030113220215,0.5124030113220215,neutral
66,66,0.24040557444095612,0.014070596545934677,0.7455238103866577,0.7455238103866577,neutral
67,67,0.7522257566452026,0.008645300753414631,0.2391289621591568,0.7522257566452026,positive
68,68,0.504930317401886,0.010449246503412724,0.4846205413341522,0.504930317401886,positive
69,69,0.04023323208093643,0.6242340207099915,0.33553269505500793,0.6242340207099915,negative
70,70,0.06288613379001617,0.7699267268180847,0.1671871691942215,0.7699267268180847,negative
71,71,0.7676976919174194,0.00814927276223898,0.22415298223495483,0.7676976919174194,positive
72,72,0.12367246299982071,0.018173063173890114,0.8581544160842896,0.8581544160842896,neutral
73,73,0.4757184684276581,0.35395100712776184,0.17033062875270844,0.4757184684276581,positive
74,74,0.09924748539924622,0.012505356222391129,0.8882471919059753,0.8882471919059753,neutral
